Sample ID,Sample File Name,AssayRole,SampleType,Dilution,Include Sample,Class
DevSet1_Rep1,DEVSET U 1D NMR raw data files/10,Assay,Study Sample,100,TRUE,DevSet1
DevSet2_Rep1,DEVSET U 1D NMR raw data files/20,Assay,Study Sample,100,TRUE,DevSet2
DevSet3_Rep1,DEVSET U 1D NMR raw data files/30,Assay,Study Sample,100,TRUE,DevSet3
DevSet4_Rep1,DEVSET U 1D NMR raw data files/40,Assay,Study Sample,100,TRUE,DevSet1v2
DevSet5_Rep1,DEVSET U 1D NMR raw data files/50,Assay,Study Sample,100,TRUE,DevSet1v3
DevSet6_Rep1,DEVSET U 1D NMR raw data files/60,Assay,Study Sample,100,TRUE,DevSet2v3
DevSet1_Rep2,DEVSET U 1D NMR raw data files/70,Assay,Study Sample,100,TRUE,DevSet1
DevSet2_Rep2,DEVSET U 1D NMR raw data files/80,Assay,Study Sample,100,TRUE,DevSet2
DevSet3_Rep2,DEVSET U 1D NMR raw data files/90,Assay,Study Sample,100,TRUE,DevSet3
DevSet4_Rep2,DEVSET U 1D NMR raw data files/100,Assay,Study Sample,100,TRUE,DevSet1v2
Long-Term Reference 01,DEVSET U 1D NMR raw data files/110,Precision Reference,External Reference,100,TRUE,External Reference
Study Reference 01,DEVSET U 1D NMR raw data files/120,Precision Reference,Study Pool,100,TRUE,Study Pool
DevSet5_Rep2,DEVSET U 1D NMR raw data files/130,Assay,Study Sample,100,TRUE,DevSet1v3
DevSet6_Rep2,DEVSET U 1D NMR raw data files/140,Assay,Study Sample,100,TRUE,DevSet2v3
DevSet1_Rep3,DEVSET U 1D NMR raw data files/150,Assay,Study Sample,100,TRUE,DevSet1
DevSet2_Rep3,DEVSET U 1D NMR raw data files/160,Assay,Study Sample,100,TRUE,DevSet2
DevSet3_Rep3,DEVSET U 1D NMR raw data files/170,Assay,Study Sample,100,TRUE,DevSet3
DevSet4_Rep3,DEVSET U 1D NMR raw data files/180,Assay,Study Sample,100,TRUE,DevSet1v2
DevSet5_Rep3,DEVSET U 1D NMR raw data files/190,Assay,Study Sample,100,TRUE,DevSet1v3
DevSet6_Rep3,DEVSET U 1D NMR raw data files/200,Assay,Study Sample,100,TRUE,DevSet2v3
