SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/190/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 261 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   2.433e+000    -9.517e-001  
T     =       1.475s      630.848m  

RSS   =   3.109e-002
SD    =   3.219e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.040e+000    3.994e-002
    2       2.000s    6.976e-001    5.870e-001   -1.106e-001
    3       3.000s    2.987e-001    3.101e-001    1.144e-002
    4       4.000s    5.910e-002    1.599e-001    1.008e-001
    5       5.000s    2.755e-002    8.169e-002    5.414e-002
    6       6.000s    5.855e-002    4.158e-002   -1.698e-002
    7       7.000s    4.340e-002    2.113e-002   -2.227e-002
    8       8.000s    1.232e-002    1.073e-002   -1.593e-003
    9       9.000s    1.794e-002    5.449e-003   -1.249e-002
   10      10.000s    3.748e-002    2.766e-003   -3.471e-002
   11      11.000s    3.069e-002    1.404e-003   -2.929e-002
   12      12.000s    1.162e-002    7.130e-004   -1.090e-002
   13      13.000s    1.090e-002    3.620e-004   -1.054e-002
   14      14.000s    1.911e-002    1.838e-004   -1.893e-002
   15      15.000s    1.301e-002    9.330e-005   -1.291e-002
   16      16.000s    8.050e-004    4.737e-005   -7.576e-004
   17      17.000s    1.746e-003    2.405e-005   -1.722e-003
   18      18.000s    8.684e-003    1.221e-005   -8.672e-003
   19      19.000s    5.180e-003    6.198e-006   -5.174e-003
   20      20.000s    -2.454e-003    3.146e-006    2.457e-003
   21      21.000s    5.496e-005    1.597e-006   -5.336e-005
   22      22.000s    6.777e-003    8.109e-007   -6.776e-003
   23      23.000s    4.595e-003    4.117e-007   -4.595e-003
   24      24.000s    -1.495e-003    2.090e-007    1.496e-003
   25      25.000s    2.279e-004    1.061e-007   -2.278e-004
   26      26.000s    5.402e-003    5.387e-008   -5.402e-003
   27      27.000s    3.606e-003    2.735e-008   -3.606e-003
   28      28.000s    -9.975e-004    1.388e-008    9.975e-004
   29      29.000s    1.288e-003    7.049e-009   -1.288e-003
   30      30.000s    6.795e-003    3.578e-009   -6.795e-003

============================================================

