SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/260/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 147 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.872e+000    -1.418e-004  
T     =       1.752s      192.180s  

RSS   =   4.142e-002
SD    =   3.716e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.057e+000    5.748e-002
    2       2.000s    7.315e-001    5.975e-001   -1.340e-001
    3       3.000s    3.660e-001    3.376e-001   -2.838e-002
    4       4.000s    1.031e-001    1.907e-001    8.756e-002
    5       5.000s    1.503e-002    1.077e-001    9.267e-002
    6       6.000s    2.234e-002    6.080e-002    3.846e-002
    7       7.000s    2.962e-002    3.430e-002    4.677e-003
    8       8.000s    2.072e-002    1.932e-002   -1.394e-003
    9       9.000s    2.028e-002    1.086e-002   -9.420e-003
   10      10.000s    2.791e-002    6.079e-003   -2.183e-002
   11      11.000s    2.576e-002    3.377e-003   -2.239e-002
   12      12.000s    1.540e-002    1.851e-003   -1.355e-002
   13      13.000s    1.088e-002    9.887e-004   -9.888e-003
   14      14.000s    1.144e-002    5.018e-004   -1.093e-002
   15      15.000s    6.980e-003    2.269e-004   -6.753e-003
   16      16.000s    -4.596e-004    7.186e-005    5.314e-004
   17      17.000s    -1.518e-003    -1.545e-005    1.502e-003
   18      18.000s    2.367e-003    -6.450e-005   -2.432e-003
   19      19.000s    2.833e-003    -9.193e-005   -2.925e-003
   20      20.000s    2.429e-004    -1.071e-004   -3.500e-004
   21      21.000s    8.535e-004    -1.154e-004   -9.690e-004
   22      22.000s    3.680e-003    -1.199e-004   -3.799e-003
   23      23.000s    3.104e-003    -1.221e-004   -3.226e-003
   24      24.000s    2.789e-004    -1.230e-004   -4.019e-004
   25      25.000s    5.301e-004    -1.233e-004   -6.534e-004
   26      26.000s    2.998e-003    -1.232e-004   -3.121e-003
   27      27.000s    2.931e-003    -1.228e-004   -3.054e-003
   28      28.000s    1.120e-003    -1.223e-004   -1.242e-003
   29      29.000s    1.964e-003    -1.218e-004   -2.085e-003
   30      30.000s    4.967e-003    -1.212e-004   -5.088e-003

============================================================

