SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/420/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   9.953e-001    -1.221e-001  
T     =       2.959s        5.671s  

RSS   =   2.372e-001
SD    =   8.891e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    6.075e-001   -3.925e-001
    2       2.000s    6.750e-001    4.205e-001   -2.545e-001
    3       3.000s    2.953e-001    2.892e-001   -6.147e-003
    4       4.000s    7.893e-002    1.973e-001    1.183e-001
    5       5.000s    4.561e-002    1.331e-001    8.754e-002
    6       6.000s    6.197e-002    8.864e-002    2.668e-002
    7       7.000s    4.197e-002    5.792e-002    1.596e-002
    8       8.000s    1.442e-002    3.687e-002    2.244e-002
    9       9.000s    1.791e-002    2.257e-002    4.657e-003
   10      10.000s    2.996e-002    1.297e-002   -1.699e-002
   11      11.000s    2.083e-002    6.632e-003   -1.420e-002
   12      12.000s    4.838e-003    2.534e-003   -2.304e-003
   13      13.000s    4.340e-003    -3.433e-005   -4.375e-003
   14      14.000s    9.499e-003    -1.568e-003   -1.107e-002
   15      15.000s    4.286e-003    -2.413e-003   -6.699e-003
   16      16.000s    -2.049e-003    -2.806e-003   -7.574e-004
   17      17.000s    3.472e-003    -2.911e-003   -6.383e-003
   18      18.000s    1.131e-002    -2.839e-003   -1.415e-002
   19      19.000s    8.459e-003    -2.664e-003   -1.112e-002
   20      20.000s    2.196e-003    -2.436e-003   -4.632e-003
   21      21.000s    4.082e-003    -2.187e-003   -6.269e-003
   22      22.000s    8.484e-003    -1.937e-003   -1.042e-002
   23      23.000s    5.749e-003    -1.697e-003   -7.446e-003
   24      24.000s    1.043e-003    -1.475e-003   -2.518e-003
   25      25.000s    2.904e-003    -1.274e-003   -4.178e-003
   26      26.000s    6.540e-003    -1.095e-003   -7.635e-003
   27      27.000s    4.217e-003    -9.369e-004   -5.154e-003
   28      28.000s    5.155e-004    -7.990e-004   -1.315e-003
   29      29.000s    2.957e-003    -6.796e-004   -3.636e-003
   30      30.000s    7.799e-003    -5.766e-004   -8.376e-003

============================================================

