SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/460/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.904e+000    3.003e-003  
T     =       1.707s    12318373311882.287s  

RSS   =   5.651e-002
SD    =   4.340e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.063e+000    6.304e-002
    2       2.000s    7.488e-001    5.931e-001   -1.557e-001
    3       3.000s    3.545e-001    3.315e-001   -2.297e-002
    4       4.000s    6.752e-002    1.859e-001    1.184e-001
    5       5.000s    -1.563e-003    1.048e-001    1.064e-001
    6       6.000s    4.085e-002    5.968e-002    1.883e-002
    7       7.000s    5.416e-002    3.455e-002   -1.961e-002
    8       8.000s    2.529e-002    2.057e-002   -4.722e-003
    9       9.000s    1.422e-002    1.278e-002   -1.440e-003
   10      10.000s    2.965e-002    8.446e-003   -2.121e-002
   11      11.000s    3.249e-002    6.033e-003   -2.646e-002
   12      12.000s    1.558e-002    4.690e-003   -1.089e-002
   13      13.000s    7.460e-003    3.942e-003   -3.518e-003
   14      14.000s    1.440e-002    3.526e-003   -1.087e-002
   15      15.000s    1.509e-002    3.294e-003   -1.179e-002
   16      16.000s    5.181e-003    3.165e-003   -2.016e-003
   17      17.000s    2.041e-003    3.093e-003    1.052e-003
   18      18.000s    8.543e-003    3.053e-003   -5.490e-003
   19      19.000s    9.293e-003    3.031e-003   -6.262e-003
   20      20.000s    1.786e-003    3.019e-003    1.232e-003
   21      21.000s    -2.321e-004    3.012e-003    3.244e-003
   22      22.000s    5.685e-003    3.008e-003   -2.678e-003
   23      23.000s    7.238e-003    3.006e-003   -4.232e-003
   24      24.000s    1.867e-003    3.005e-003    1.138e-003
   25      25.000s    3.485e-004    3.004e-003    2.655e-003
   26      26.000s    5.034e-003    3.003e-003   -2.030e-003
   27      27.000s    6.324e-003    3.003e-003   -3.321e-003
   28      28.000s    2.163e-003    3.003e-003    8.404e-004
   29      29.000s    1.397e-003    3.003e-003    1.606e-003
   30      30.000s    6.164e-003    3.003e-003   -3.161e-003

============================================================

