SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/470/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 342 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.770e+000    7.017e-003  
T     =       1.836s      327.354s  

RSS   =   1.434e-002
SD    =   2.186e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.034e+000    3.393e-002
    2       2.000s    6.880e-001    6.027e-001   -8.531e-002
    3       3.000s    3.525e-001    3.526e-001    2.946e-005
    4       4.000s    1.499e-001    2.074e-001    5.748e-002
    5       5.000s    8.563e-002    1.232e-001    3.759e-002
    6       6.000s    6.820e-002    7.436e-002    6.163e-003
    7       7.000s    4.427e-002    4.601e-002    1.744e-003
    8       8.000s    2.821e-002    2.956e-002    1.344e-003
    9       9.000s    3.268e-002    2.000e-002   -1.268e-002
   10      10.000s    3.704e-002    1.445e-002   -2.259e-002
   11      11.000s    2.679e-002    1.122e-002   -1.557e-002
   12      12.000s    1.546e-002    9.336e-003   -6.123e-003
   13      13.000s    1.474e-002    8.236e-003   -6.507e-003
   14      14.000s    1.540e-002    7.589e-003   -7.815e-003
   15      15.000s    9.240e-003    7.205e-003   -2.035e-003
   16      16.000s    4.250e-003    6.973e-003    2.724e-003
   17      17.000s    6.860e-003    6.831e-003   -2.948e-005
   18      18.000s    9.524e-003    6.739e-003   -2.785e-003
   19      19.000s    6.145e-003    6.678e-003    5.334e-004
   20      20.000s    2.980e-003    6.634e-003    3.654e-003
   21      21.000s    5.206e-003    6.600e-003    1.394e-003
   22      22.000s    7.176e-003    6.572e-003   -6.040e-004
   23      23.000s    4.270e-003    6.547e-003    2.277e-003
   24      24.000s    1.684e-003    6.525e-003    4.841e-003
   25      25.000s    3.794e-003    6.503e-003    2.709e-003
   26      26.000s    5.999e-003    6.482e-003    4.838e-004
   27      27.000s    4.229e-003    6.462e-003    2.233e-003
   28      28.000s    2.618e-003    6.442e-003    3.824e-003
   29      29.000s    5.145e-003    6.422e-003    1.277e-003
   30      30.000s    8.568e-003    6.403e-003   -2.165e-003

============================================================

