SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/500/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 510 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.905e+001    -2.073e+001  
T     =     870.794m      707.291m  

RSS   =   6.873e-003
SD    =   1.514e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.000e+000    7.904e-005
    2       2.000s    6.892e-001    6.900e-001    7.987e-004
    3       3.000s    3.197e-001    3.095e-001   -1.012e-002
    4       4.000s    9.325e-002    1.202e-001    2.697e-002
    5       5.000s    4.158e-002    4.349e-002    1.918e-003
    6       6.000s    5.276e-002    1.510e-002   -3.767e-002
    7       7.000s    4.178e-002    5.106e-003   -3.667e-002
    8       8.000s    2.113e-002    1.696e-003   -1.943e-002
    9       9.000s    2.236e-002    5.568e-004   -2.180e-002
   10      10.000s    3.152e-002    1.812e-004   -3.134e-002
   11      11.000s    2.490e-002    5.856e-005   -2.484e-002
   12      12.000s    1.204e-002    1.884e-005   -1.202e-002
   13      13.000s    1.103e-002    6.042e-006   -1.102e-002
   14      14.000s    1.499e-002    1.932e-006   -1.499e-002
   15      15.000s    1.011e-002    6.167e-007   -1.011e-002
   16      16.000s    2.409e-003    1.965e-007   -2.408e-003
   17      17.000s    3.339e-003    6.256e-008   -3.339e-003
   18      18.000s    7.464e-003    1.990e-008   -7.464e-003
   19      19.000s    4.652e-003    6.324e-009   -4.652e-003
   20      20.000s    -5.126e-004    2.009e-009    5.126e-004
   21      21.000s    9.003e-004    6.379e-010   -9.003e-004
   22      22.000s    4.918e-003    2.025e-010   -4.918e-003
   23      23.000s    3.479e-003    6.427e-011   -3.479e-003
   24      24.000s    -1.304e-004    2.040e-011    1.304e-004
   25      25.000s    1.203e-003    6.471e-012   -1.203e-003
   26      26.000s    4.598e-003    2.053e-012   -4.598e-003
   27      27.000s    3.736e-003    6.513e-013   -3.736e-003
   28      28.000s    1.306e-003    2.066e-013   -1.306e-003
   29      29.000s    3.178e-003    6.553e-014   -3.178e-003
   30      30.000s    7.081e-003    2.079e-014   -7.081e-003

============================================================

