SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/560/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 477 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.412e+000    1.691e-001  
T     =       2.032s        8.581s  

RSS   =   3.901e-003
SD    =   1.140e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.014e+000    1.380e-002
    2       2.000s    7.028e-001    6.618e-001   -4.106e-002
    3       3.000s    4.277e-001    4.419e-001    1.423e-002
    4       4.000s    2.718e-001    3.034e-001    3.157e-002
    5       5.000s    2.127e-001    2.150e-001    2.392e-003
    6       6.000s    1.730e-001    1.578e-001   -1.522e-002
    7       7.000s    1.237e-001    1.199e-001   -3.859e-003
    8       8.000s    8.870e-002    9.413e-002    5.434e-003
    9       9.000s    7.918e-002    7.609e-002   -3.090e-003
   10      10.000s    7.382e-002    6.303e-002   -1.079e-002
   11      11.000s    5.844e-002    5.322e-002   -5.215e-003
   12      12.000s    4.459e-002    4.561e-002    1.024e-003
   13      13.000s    4.146e-002    3.952e-002   -1.932e-003
   14      14.000s    3.938e-002    3.452e-002   -4.861e-003
   15      15.000s    3.027e-002    3.032e-002    5.060e-005
   16      16.000s    2.133e-002    2.674e-002    5.413e-003
   17      17.000s    1.907e-002    2.365e-002    4.578e-003
   18      18.000s    1.778e-002    2.095e-002    3.170e-003
   19      19.000s    1.252e-002    1.859e-002    6.071e-003
   20      20.000s    8.607e-003    1.651e-002    7.906e-003
   21      21.000s    1.016e-002    1.468e-002    4.512e-003
   22      22.000s    1.189e-002    1.305e-002    1.156e-003
   23      23.000s    9.531e-003    1.161e-002    2.075e-003
   24      24.000s    7.476e-003    1.032e-002    2.848e-003
   25      25.000s    9.402e-003    9.186e-003   -2.169e-004
   26      26.000s    1.123e-002    8.173e-003   -3.058e-003
   27      27.000s    9.640e-003    7.273e-003   -2.367e-003
   28      28.000s    8.626e-003    6.472e-003   -2.154e-003
   29      29.000s    1.173e-002    5.760e-003   -5.970e-003
   30      30.000s    1.574e-002    5.126e-003   -1.062e-002

============================================================

