SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/670/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.510e+000    -6.201e-002  
T     =       2.080s        2.480s  

RSS   =   7.842e-002
SD    =   5.113e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    8.923e-001   -1.077e-001
    2       2.000s    6.800e-001    5.497e-001   -1.303e-001
    3       3.000s    2.750e-001    3.386e-001    6.356e-002
    4       4.000s    3.390e-002    2.084e-001    1.745e-001
    5       5.000s    6.556e-003    1.283e-001    1.217e-001
    6       6.000s    4.886e-002    7.891e-002    3.005e-002
    7       7.000s    4.383e-002    4.852e-002    4.690e-003
    8       8.000s    1.295e-002    2.982e-002    1.687e-002
    9       9.000s    1.248e-002    1.832e-002    5.842e-003
   10      10.000s    2.959e-002    1.125e-002   -1.834e-002
   11      11.000s    2.554e-002    6.899e-003   -1.864e-002
   12      12.000s    8.133e-003    4.230e-003   -3.903e-003
   13      13.000s    6.107e-003    2.591e-003   -3.516e-003
   14      14.000s    1.417e-002    1.586e-003   -1.259e-002
   15      15.000s    1.025e-002    9.698e-004   -9.281e-003
   16      16.000s    -1.070e-003    5.924e-004    1.662e-003
   17      17.000s    -1.465e-003    3.614e-004    1.827e-003
   18      18.000s    5.383e-003    2.203e-004   -5.163e-003
   19      19.000s    4.167e-003    1.340e-004   -4.033e-003
   20      20.000s    -1.945e-003    8.142e-005    2.026e-003
   21      21.000s    -1.510e-004    4.938e-005    2.004e-004
   22      22.000s    6.051e-003    2.988e-005   -6.021e-003
   23      23.000s    4.878e-003    1.804e-005   -4.860e-003
   24      24.000s    -5.914e-004    1.087e-005    6.023e-004
   25      25.000s    4.540e-004    6.527e-006   -4.475e-004
   26      26.000s    5.557e-003    3.906e-006   -5.553e-003
   27      27.000s    5.088e-003    2.329e-006   -5.085e-003
   28      28.000s    1.217e-003    1.382e-006   -1.216e-003
   29      29.000s    2.658e-003    8.162e-007   -2.657e-003
   30      30.000s    7.593e-003    4.789e-007   -7.593e-003

============================================================

