SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/670/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 344 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   1.414e+000    1.965e-002  
T     =       2.874s       29.057s  

RSS   =   4.115e-003
SD    =   1.171e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.017e+000    1.730e-002
    2       2.000s    7.371e-001    7.233e-001   -1.379e-002
    3       3.000s    5.395e-001    5.155e-001   -2.398e-002
    4       4.000s    3.870e-001    3.687e-001   -1.838e-002
    5       5.000s    2.540e-001    2.648e-001    1.081e-002
    6       6.000s    1.628e-001    1.913e-001    2.843e-002
    7       7.000s    1.209e-001    1.392e-001    1.833e-002
    8       8.000s    9.523e-002    1.023e-001    7.101e-003
    9       9.000s    6.619e-002    7.614e-002    9.954e-003
   10      10.000s    4.801e-002    5.752e-002    9.506e-003
   11      11.000s    4.668e-002    4.424e-002   -2.439e-003
   12      12.000s    4.424e-002    3.474e-002   -9.498e-003
   13      13.000s    3.386e-002    2.791e-002   -5.954e-003
   14      14.000s    3.035e-002    2.298e-002   -7.371e-003
   15      15.000s    3.703e-002    1.938e-002   -1.764e-002
   16      16.000s    3.688e-002    1.674e-002   -2.014e-002
   17      17.000s    2.424e-002    1.476e-002   -9.478e-003
   18      18.000s    1.459e-002    1.327e-002   -1.316e-003
   19      19.000s    1.532e-002    1.212e-002   -3.202e-003
   20      20.000s    1.482e-002    1.122e-002   -3.603e-003
   21      21.000s    7.408e-003    1.049e-002    3.081e-003
   22      22.000s    3.432e-003    9.888e-003    6.456e-003
   23      23.000s    7.244e-003    9.379e-003    2.135e-003
   24      24.000s    8.696e-003    8.939e-003    2.425e-004
   25      25.000s    3.607e-003    8.549e-003    4.942e-003
   26      26.000s    1.300e-003    8.199e-003    6.899e-003
   27      27.000s    5.371e-003    7.878e-003    2.507e-003
   28      28.000s    6.900e-003    7.581e-003    6.807e-004
   29      29.000s    2.625e-003    7.303e-003    4.678e-003
   30      30.000s    9.226e-004    7.041e-003    6.118e-003

============================================================

