SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/740/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 428 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   2.631e+000    5.632e-002  
T     =     995.238m        9.952s  

RSS   =   2.269e-002
SD    =   2.750e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.014e+000    1.421e-002
    2       2.000s    4.730e-001    3.987e-001   -7.421e-002
    3       3.000s    9.286e-002    1.708e-001    7.792e-002
    4       4.000s    1.606e-002    8.495e-002    6.890e-002
    5       5.000s    7.990e-002    5.139e-002   -2.852e-002
    6       6.000s    8.704e-002    3.716e-002   -4.988e-002
    7       7.000s    3.673e-002    3.019e-002   -6.536e-003
    8       8.000s    2.295e-002    2.606e-002    3.103e-003
    9       9.000s    4.876e-002    2.311e-002   -2.565e-002
   10      10.000s    5.021e-002    2.073e-002   -2.948e-002
   11      11.000s    2.209e-002    1.869e-002   -3.398e-003
   12      12.000s    1.094e-002    1.688e-002    5.936e-003
   13      13.000s    2.173e-002    1.526e-002   -6.476e-003
   14      14.000s    1.879e-002    1.380e-002   -4.991e-003
   15      15.000s    -1.053e-003    1.248e-002    1.353e-002
   16      16.000s    -7.617e-003    1.128e-002    1.890e-002
   17      17.000s    2.520e-003    1.020e-002    7.684e-003
   18      18.000s    4.359e-003    9.228e-003    4.869e-003
   19      19.000s    -5.094e-003    8.346e-003    1.344e-002
   20      20.000s    -5.189e-003    7.548e-003    1.274e-002
   21      21.000s    5.155e-003    6.827e-003    1.671e-003
   22      22.000s    6.660e-003    6.174e-003   -4.861e-004
   23      23.000s    -1.738e-003    5.584e-003    7.322e-003
   24      24.000s    -2.428e-003    5.050e-003    7.478e-003
   25      25.000s    5.736e-003    4.567e-003   -1.169e-003
   26      26.000s    6.742e-003    4.130e-003   -2.611e-003
   27      27.000s    -4.851e-004    3.736e-003    4.221e-003
   28      28.000s    -1.078e-003    3.378e-003    4.456e-003
   29      29.000s    6.398e-003    3.055e-003   -3.343e-003
   30      30.000s    8.668e-003    2.763e-003   -5.905e-003

============================================================

