SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/770/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 7021 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   2.518e+002    -2.498e+002  
T     =       1.653s        1.655s  

RSS   =   1.698e-002
SD    =   2.379e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.018e+000    1.786e-002
    2       2.000s    5.623e-001    4.973e-001   -6.495e-002
    3       3.000s    2.036e-001    2.396e-001    3.602e-002
    4       4.000s    5.970e-002    1.134e-001    5.366e-002
    5       5.000s    5.051e-002    5.236e-002    1.845e-003
    6       6.000s    4.542e-002    2.338e-002   -2.205e-002
    7       7.000s    1.984e-002    9.914e-003   -9.929e-003
    8       8.000s    1.549e-002    3.856e-003   -1.163e-002
    9       9.000s    3.331e-002    1.255e-003   -3.205e-002
   10      10.000s    3.731e-002    2.202e-004   -3.709e-002
   11      11.000s    2.295e-002    -1.339e-004   -2.309e-002
   12      12.000s    1.692e-002    -2.120e-004   -1.713e-002
   13      13.000s    2.520e-002    -1.916e-004   -2.539e-002
   14      14.000s    2.936e-002    -1.461e-004   -2.951e-002
   15      15.000s    2.494e-002    -1.024e-004   -2.505e-002
   16      16.000s    2.421e-002    -6.831e-005   -2.428e-002
   17      17.000s    2.677e-002    -4.407e-005   -2.681e-002
   18      18.000s    2.041e-002    -2.776e-005   -2.044e-002
   19      19.000s    7.612e-003    -1.718e-005   -7.629e-003
   20      20.000s    3.005e-003    -1.048e-005   -3.015e-003
   21      21.000s    7.187e-003    -6.328e-006   -7.194e-003
   22      22.000s    7.416e-003    -3.785e-006   -7.420e-003
   23      23.000s    1.902e-003    -2.247e-006   -1.904e-003
   24      24.000s    9.857e-004    -1.325e-006   -9.870e-004
   25      25.000s    5.866e-003    -7.775e-007   -5.867e-003
   26      26.000s    6.980e-003    -4.540e-007   -6.981e-003
   27      27.000s    3.010e-003    -2.640e-007   -3.010e-003
   28      28.000s    2.716e-003    -1.529e-007   -2.716e-003
   29      29.000s    7.722e-003    -8.829e-008   -7.722e-003
   30      30.000s    1.039e-002    -5.083e-008   -1.039e-002

============================================================

