SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/910/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 531 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   3.862e+000    -1.167e+001  
T     =       1.183s      347.806m  

RSS   =   8.860e-003
SD    =   1.718e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.000e+000    2.068e-004
    2       2.000s    6.767e-001    6.751e-001   -1.558e-003
    3       3.000s    3.096e-001    3.038e-001   -5.836e-003
    4       4.000s    9.920e-002    1.312e-001    3.204e-002
    5       5.000s    5.751e-002    5.641e-002   -1.107e-003
    6       6.000s    6.268e-002    2.423e-002   -3.846e-002
    7       7.000s    4.111e-002    1.040e-002   -3.071e-002
    8       8.000s    1.881e-002    4.468e-003   -1.435e-002
    9       9.000s    2.511e-002    1.919e-003   -2.319e-002
   10      10.000s    3.698e-002    8.240e-004   -3.615e-002
   11      11.000s    3.014e-002    3.539e-004   -2.978e-002
   12      12.000s    1.899e-002    1.520e-004   -1.884e-002
   13      13.000s    2.118e-002    6.527e-005   -2.111e-002
   14      14.000s    2.603e-002    2.803e-005   -2.600e-002
   15      15.000s    2.030e-002    1.204e-005   -2.029e-002
   16      16.000s    1.257e-002    5.169e-006   -1.256e-002
   17      17.000s    1.239e-002    2.220e-006   -1.239e-002
   18      18.000s    1.149e-002    9.533e-007   -1.149e-002
   19      19.000s    2.730e-003    4.094e-007   -2.730e-003
   20      20.000s    -4.103e-003    1.758e-007    4.103e-003
   21      21.000s    -8.395e-004    7.551e-008    8.396e-004
   22      22.000s    3.723e-003    3.243e-008   -3.723e-003
   23      23.000s    7.649e-004    1.393e-008   -7.649e-004
   24      24.000s    -3.116e-003    5.980e-009    3.116e-003
   25      25.000s    -2.374e-004    2.568e-009    2.374e-004
   26      26.000s    3.644e-003    1.103e-009   -3.644e-003
   27      27.000s    1.536e-003    4.737e-010   -1.536e-003
   28      28.000s    -1.421e-003    2.034e-010    1.421e-003
   29      29.000s    1.428e-003    8.736e-011   -1.428e-003
   30      30.000s    5.896e-003    3.751e-011   -5.896e-003

============================================================

