SIMFIT RESULTS
==============

Dataset : c:/IVDrData/data/PipelineTest_Urine_300K_RFT_290118/940/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 3209 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   2.037e+000    -8.810e+003  
T     =       1.761s       91.293m  

RSS   =   1.157e-002
SD    =   1.964e-002

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    1.000e+000    5.133e-006
    2       2.000s    6.717e-001    6.540e-001   -1.770e-002
    3       3.000s    3.493e-001    3.706e-001    2.128e-002
    4       4.000s    1.707e-001    2.100e-001    3.929e-002
    5       5.000s    1.182e-001    1.190e-001    8.247e-004
    6       6.000s    9.791e-002    6.742e-002   -3.049e-002
    7       7.000s    6.741e-002    3.821e-002   -2.921e-002
    8       8.000s    4.641e-002    2.165e-002   -2.476e-002
    9       9.000s    4.621e-002    1.227e-002   -3.394e-002
   10      10.000s    4.702e-002    6.951e-003   -4.007e-002
   11      11.000s    3.676e-002    3.939e-003   -3.282e-002
   12      12.000s    2.726e-002    2.232e-003   -2.502e-002
   13      13.000s    2.685e-002    1.265e-003   -2.559e-002
   14      14.000s    2.686e-002    7.167e-004   -2.614e-002
   15      15.000s    2.088e-002    4.061e-004   -2.048e-002
   16      16.000s    1.492e-002    2.301e-004   -1.469e-002
   17      17.000s    1.282e-002    1.304e-004   -1.269e-002
   18      18.000s    9.489e-003    7.389e-005   -9.416e-003
   19      19.000s    3.425e-003    4.187e-005   -3.383e-003
   20      20.000s    9.306e-004    2.372e-005   -9.069e-004
   21      21.000s    3.794e-003    1.344e-005   -3.780e-003
   22      22.000s    5.481e-003    7.618e-006   -5.473e-003
   23      23.000s    3.048e-003    4.317e-006   -3.043e-003
   24      24.000s    1.516e-003    2.446e-006   -1.513e-003
   25      25.000s    3.430e-003    1.386e-006   -3.429e-003
   26      26.000s    4.521e-003    7.854e-007   -4.520e-003
   27      27.000s    2.726e-003    4.450e-007   -2.725e-003
   28      28.000s    2.085e-003    2.522e-007   -2.085e-003
   29      29.000s    4.679e-003    1.429e-007   -4.678e-003
   30      30.000s    7.138e-003    8.097e-008   -7.138e-003

============================================================

