Sample ID,Sample File Name,AssayRole,SampleType,Dilution,Include Sample,Class,Acquired Time,Detector,Run Order,Correction Batch
,PipelineTesting_RPOS_ToF10_B1SRD01,Linearity Reference,Study Pool,1,TRUE,,18/01/2018 02:25,3053,12,1
,PipelineTesting_RPOS_ToF10_B1SRD02,Linearity Reference,Study Pool,1,TRUE,,18/01/2018 02:40,3054,13,1
,PipelineTesting_RPOS_ToF10_B1SRD03,Linearity Reference,Study Pool,1,TRUE,,18/01/2018 02:55,3055,14,1
,PipelineTesting_RPOS_ToF10_B1SRD04,Linearity Reference,Study Pool,1,TRUE,,18/01/2018 03:10,3056,15,1
,PipelineTesting_RPOS_ToF10_B1SRD05,Linearity Reference,Study Pool,1,TRUE,,18/01/2018 03:25,3057,16,1
,PipelineTesting_RPOS_ToF10_B1SRD06,Linearity Reference,Study Pool,1,TRUE,,18/01/2018 03:40,3057,17,1
,PipelineTesting_RPOS_ToF10_B1SRD07,Linearity Reference,Study Pool,1,TRUE,,18/01/2018 03:56,3058,18,1
,PipelineTesting_RPOS_ToF10_B1SRD08,Linearity Reference,Study Pool,1,TRUE,,18/01/2018 04:11,3059,19,1
,PipelineTesting_RPOS_ToF10_B1SRD09,Linearity Reference,Study Pool,1,TRUE,,18/01/2018 04:26,3058,20,1
,PipelineTesting_RPOS_ToF10_B1SRD10,Linearity Reference,Study Pool,1,TRUE,,18/01/2018 04:41,3059,21,1
,PipelineTesting_RPOS_ToF10_B1SRD56,Linearity Reference,Study Pool,1,TRUE,,20/01/2018 04:50,3140,203,1
,PipelineTesting_RPOS_ToF10_B1SRD55,Linearity Reference,Study Pool,1,TRUE,,20/01/2018 05:05,3139,204,1
,PipelineTesting_RPOS_ToF10_B1SRD54,Linearity Reference,Study Pool,1,TRUE,,20/01/2018 05:20,3138,205,1
,PipelineTesting_RPOS_ToF10_B1SRD53,Linearity Reference,Study Pool,1,TRUE,,20/01/2018 05:35,3139,206,1
,PipelineTesting_RPOS_ToF10_B1SRD52,Linearity Reference,Study Pool,1,TRUE,,20/01/2018 05:50,3138,207,1
