,RPOS-001.1,RPOS-001.2,RPOS-001.3,RPOS-002.1,RPOS-002.2,RPOS-002.3,RPOS-003.1,RPOS-003.2,RPOS-003.3,RPOS-003.4,RPOS-005.1,RPOS-005.2,RPOS-005.3,RPOS-008.1,RPOS-008.2,RPOS-008.3,RPOS-008.4,RPOS-008.5,RPOS-015.1,RPOS-015.2,RPOS-015.3,RPOS-016.1,RPOS-016.2,RPOS-018.1,RPOS-018.2,RPOS-026.1,RPOS-026.2,RPOS-026.3,RPOS-027.1,RPOS-027.2,RPOS-027.3,RPOS-029.1,RPOS-029.2,RPOS-029.3,RPOS-029.4,RPOS-031.1,RPOS-031.2,RPOS-031.3,RPOS-034.1,RPOS-034.2,RPOS-035.1,RPOS-035.2,RPOS-035.3,RPOS-035.4,RPOS-036.1,RPOS-036.2,RPOS-036.3,RPOS-043.1,RPOS-043.2,RPOS-043.3,RPOS-044.1,RPOS-044.2,RPOS-045.1,RPOS-045.2,RPOS-045.3,RPOS-049.1,RPOS-049.2,RPOS-049.3,RPOS-050.1,RPOS-050.2,RPOS-051.1,RPOS-051.2,RPOS-051.3,RPOS-053.1,RPOS-053.2,RPOS-055.1,RPOS-055.2,RPOS-055.3,RPOS-057.1,RPOS-057.2,RPOS-061.1,RPOS-061.2,RPOS-062.1,RPOS-062.2,RPOS-062.3,RPOS-063.1,RPOS-063.2,RPOS-063.3,RPOS-063.4,RPOS-069.1,RPOS-069.2,RPOS-071.1,RPOS-071.2,RPOS-071.3,RPOS-071.4,RPOS-073.1,RPOS-073.2,RPOS-073.3,RPOS-074.1,RPOS-074.2,RPOS-075.1,RPOS-075.2,RPOS-078.1,RPOS-078.2,RPOS-087.1,RPOS-087.2,RPOS-087.3,RPOS-087.4,RPOS-087.5,RPOS-087.6,RPOS-089.1,RPOS-089.2,RPOS-089.3
PipelineTesting_RPOS_ToF10_B1SRD01,3236.526721,442.4770078,2333.661527,10375.83225,751.1791031,109.6127903,747536.3135,6877.716472,10146.691,6675.319428,55955.5655,395.1789983,1218.49977,27407.00963,14709.54364,2173.809517,4268.979742,8352.711105,18443.20933,1019.833089,517.8445749,181447.3457,569.2024823,110008.3909,23324.69848,13750.28841,8446.36864,0,12182.38993,1024.474668,6715.125039,22212.20379,47384.65722,2031.712565,2781.556743,1590.732749,776.5890061,403.4400909,3267.749385,1039.041154,4353.718879,629.6269872,3164.060827,3932.987737,31954.06305,9077.228845,519.2454152,115671.2272,0,1864.113359,20097.86129,81.54179285,44169.25747,1990.717679,15.80428014,525.6239586,1268.759713,499.3133389,541.8149317,375.7141093,42591.39897,201.3370954,415.7498429,685.9129271,104.5425687,25874.33241,7918.050167,4139.263585,13650.43741,2296.578222,62245.173,2052.918795,32226.06523,95.43754413,298.9760861,1336.570842,3853.583279,1759.31939,1120.311621,6061.540927,5314.988731,19463.18117,256.6789146,327.7764533,407.7548789,735.4072966,1065.974605,43.59332175,62226.3156,2052.917956,556.683781,1304.404379,4751.372999,3907.457107,31998.99904,10190.08919,3184.384587,11141.24099,4474.221248,2876.311764,1180.510303,0,219.5445138
PipelineTesting_RPOS_ToF10_B1SRD02,3132.646714,168.4355448,1192.014313,9865.137821,980.4689557,61.12990272,747157.1286,6913.021164,10451.06192,5191.636015,55871.14165,676.97287,1017.659171,27993.00529,15462.6775,2158.192391,4091.098655,8452.287098,17742.84217,703.6142585,522.7577274,181743.7323,350.0625264,111192.2154,24129.89561,13939.94535,8516.467842,0,12239.59873,1096.116163,6181.810179,22321.80118,47813.66481,1725.004108,3016.010764,1729.610711,774.4198031,290.9417692,2996.529138,1093.121521,4282.523283,684.4938992,3034.660202,3661.246307,31893.67022,9012.837299,211.9898293,114348.7767,0,1968.59822,20647.93468,351.8329147,45244.08267,2065.485122,0,457.7722095,957.292012,359.5984806,732.4449342,414.0853635,42303.31254,233.4003328,196.6524705,866.6747862,0,27344.6895,8995.493543,4386.03517,13858.33001,2804.779559,62898.35054,2187.748789,33163.91764,538.9757009,175.993574,1726.899804,3961.895058,2157.367322,1158.860194,5860.423897,5736.981767,19182.62737,212.4928214,0,411.9185549,1055.232152,668.8828603,59.5106388,62867.17005,2187.610594,925.1762847,1744.350912,4414.10108,3928.986102,32083.04824,10253.07155,3312.9334,10875.97634,4610.793775,2713.574986,1154.291714,0,658.7767816
PipelineTesting_RPOS_ToF10_B1SRD03,3435.906568,448.8927855,1275.449961,10135.14037,675.1281922,213.4311659,753708.6942,6990.845043,9961.213091,5089.348114,55973.54761,606.7008279,1281.142035,27996.20558,15663.73541,2005.231487,4155.953158,8717.041448,19256.50567,1238.693855,923.8309248,182995.1058,249.8989305,114494.4125,25008.06213,14037.75596,8785.436889,0,12100.75671,676.4609897,6433.939031,23204.80096,46761.18923,2138.780318,3105.708749,1591.034245,491.8659856,431.8389953,3078.400873,1047.453034,4168.796565,351.1062174,3200.463622,3493.629251,32276.93741,9838.077962,539.1556311,115141.3305,0,1869.74342,20721.17313,338.5221525,44307.93233,3716.639992,0,510.2531312,1245.005619,321.8681742,676.213908,116.3530646,43020.58196,0,297.7679045,508.4725568,438.4845064,27159.5544,8635.286867,3956.935052,13964.56749,2610.685609,63536.4063,2145.798804,33846.30642,452.023312,307.1124795,1425.611942,3953.143434,1864.990523,1267.070933,5453.629648,5339.975007,19432.4135,270.0735584,406.1979077,287.0048563,749.9513527,921.3204914,348.0530886,63511.85657,2145.794387,361.6679274,1447.414532,4805.975221,4271.593105,32692.37803,10432.41666,3234.418994,12274.04058,4740.301561,2594.716556,573.4839336,0,233.0346274
PipelineTesting_RPOS_ToF10_B1SRD04,3235.196721,938.4494792,1845.020765,10779.04109,965.4096553,138.5518208,762969.7351,6923.874692,10491.76695,5175.057671,55635.32919,728.87674,1175.642259,28193.31139,14870.70258,2224.304125,3684.394144,8176.843596,18355.49548,1316.209904,834.353414,186645.413,442.5557097,114129.5709,25253.44123,14392.94063,8733.811149,0,12894.52292,965.5652828,6564.882607,22265.28391,47811.21384,1888.762256,3006.444088,1588.986752,699.5765357,502.7904469,2641.835128,1048.864369,4176.721228,519.3356167,3589.531201,3670.850601,31859.67919,9822.378041,573.7535481,115054.8233,0,2177.647673,21078.75118,452.7437292,46121.67383,2034.213507,0,402.7809313,1391.200285,342.7500375,659.5417562,596.3686308,42370.50446,313.4944014,473.7006344,528.769467,0,27923.47975,9429.155252,4282.476104,14383.22818,2701.34364,63059.21078,2630.400564,33673.14183,309.6910427,261.1180638,1345.625366,4058.980587,2306.709629,991.7469681,5076.428657,6791.149518,19593.71962,496.285721,0,295.8020295,830.7692974,956.1818219,245.9268777,63032.21093,1732.075821,605.8272514,1083.131427,4735.428232,4010.215337,31847.35304,10943.00234,3106.687387,11780.44595,4529.025136,2680.473308,1270.281044,0,0
PipelineTesting_RPOS_ToF10_B1SRD05,3364.970158,700.4147095,1660.969591,11203.87722,836.7701026,137.9735657,776579.5126,7267.910606,9998.569359,5259.952288,58451.41513,787.4097192,1275.553253,28732.33971,15237.62379,2238.492432,4063.11418,8679.693966,19433.86268,1106.231134,271.4505205,192066.5217,205.1888231,118135.1401,25491.89717,14127.28423,9382.398865,0,12187.95035,515.1355152,6482.032216,24062.92484,48731.42457,1936.542046,2656.564803,1862.126506,380.5354477,524.1105121,3474.555697,1593.714932,4103.856741,769.7744899,4390.20295,3486.614105,33403.80847,10768.16055,600.6307405,117712.4537,0,1994.648969,20835.27523,519.1381632,46860.83786,2013.958426,0,445.842691,1792.239022,172.241796,531.066728,262.7021797,44381.88653,186.6764436,307.7055452,1102.587578,0,26236.74254,8459.614576,4040.213221,14257.54696,2350.804897,65796.88265,2131.371395,34733.83517,558.6223485,143.4006116,1434.17782,4007.041071,2078.66418,1466.241429,6225.972766,5786.070721,20345.28315,436.9612179,359.0350966,381.0222334,292.9801569,531.9614429,207.904609,65783.06731,2131.370733,503.594125,1337.055451,4976.760172,3894.256638,32770.70584,10652.72068,3191.207337,12182.95492,4669.6486,3019.551064,1288.120397,0,0
PipelineTesting_RPOS_ToF10_B1SRD06,3475.327872,240.8482633,1584.247131,11125.23834,576.8664289,0,771637.7211,7415.800303,10166.22323,5426.460071,57069.63365,705.8260449,1287.622857,28277.14285,14812.25366,2131.635076,4122.750591,8897.484098,18938.30305,1414.158277,317.9385134,191092.8188,538.8435182,117302.7062,25670.69946,14256.30909,8727.345413,84.38826659,12647.12027,615.8277968,6237.375511,23048.14996,48639.32913,1966.945103,2639.987114,1913.914034,593.6956925,506.9579236,3211.082966,633.5552702,4411.962174,440.4829871,3263.482946,4074.184221,33027.09345,10529.18417,820.7971431,118763.3115,0,2357.655722,20656.8931,1023.10619,46698.18608,2222.345913,0,599.137971,876.904984,287.7519643,738.2684659,74.7741744,43989.69391,414.6820987,475.7170943,867.9730659,161.891276,27953.47352,8671.3867,4184.203637,14442.0799,2975.011415,63706.42629,2144.78701,33774.39439,474.5610802,490.1543656,1572.752274,4263.626111,1841.850951,1290.558643,6047.477379,5688.1262,19817.41573,273.8334591,195.1456325,590.1371583,488.1645369,1081.348548,0,63680.19117,2135.953681,472.7297515,1575.241572,4418.718976,4259.70412,33509.63011,10497.15774,2976.365543,11933.99399,4630.365619,2589.381619,1157.484107,0,62.93665149
PipelineTesting_RPOS_ToF10_B1SRD07,3388.614589,442.4554454,1675.67756,11257.40692,912.9065314,67.4180435,778467.7022,7084.135851,10906.19384,5262.599216,57478.06118,549.2816475,1257.787335,28462.24738,15196.68093,1756.392108,4154.97655,8546.924854,19386.78034,1228.753044,675.9669173,194054.2301,492.4051683,118961.3751,26611.53301,14053.05264,9128.970408,0,12622.45678,1294.749411,6484.187072,23010.39066,48704.5684,1934.082483,2981.253826,1861.939506,413.5883347,626.4066447,2860.469414,1745.603702,4419.261408,299.7811962,2956.351481,3776.24644,33674.14336,11009.44699,350.5225238,118360.8429,0,1934.305491,21372.5553,504.9044765,45908.97357,2339.354654,0,829.0832304,2561.593305,1051.375081,732.4198034,422.1906863,44740.27035,122.573261,384.5871175,543.4119311,0,28146.77389,9077.605854,4549.437428,13872.16437,3041.540102,64931.90441,2182.199483,34112.36968,396.8479016,238.4299297,1585.034251,4484.79435,1861.584928,1099.525257,5785.512063,5807.380528,20426.59506,267.5132208,417.0596589,1257.618051,851.2800838,1068.725254,124.416633,64923.80634,2182.199213,495.0762258,1617.118812,4946.719732,4040.064783,33293.34346,10823.60202,3229.266276,11621.50632,4665.134962,2962.110739,838.0402352,0,374.0176228
PipelineTesting_RPOS_ToF10_B1SRD08,3246.491643,407.2924046,2235.326676,11647.70122,971.3099832,57.97989482,788758.649,7178.513745,10668.98089,5658.961531,58608.13987,560.8573205,1408.120388,29500.49805,15793.02921,2116.32477,4246.775714,9000.734788,19350.40142,1261.585283,1148.413809,199246.2742,449.3876231,121777.8447,26320.53862,14783.74852,9407.373611,0,12850.99877,1055.561646,7269.783375,23956.87751,49850.25896,1753.704108,3433.687339,2147.807004,754.7118948,982.1090485,2989.082429,1485.937214,4436.746741,735.622634,3107.393044,4085.425588,35553.37574,10892.00399,449.4745215,120871.7463,0,1776.139603,21717.77121,413.2704548,47865.0529,2284.7154,0,791.2027859,2632.352769,444.1032267,670.4346429,327.0765499,45787.47269,51.42257511,456.3632779,683.9411677,0,28032.90449,9340.97377,4600.812872,14225.09051,3092.71828,66679.26029,2081.592128,35263.41279,556.2412466,123.6431073,1521.652538,4313.841071,2070.905089,1313.142425,5901.387298,5639.627467,20776.20091,487.3361986,372.7481957,367.4418329,724.9810395,958.9952847,154.9921302,66663.4045,2081.589441,477.2025327,1704.668044,4366.966641,4378.234887,34974.34643,10964.76771,3227.435943,12578.73523,4985.86867,2899.689855,1275.589654,0,275.7636876
PipelineTesting_RPOS_ToF10_B1SRD09,3264.139476,766.6885954,1423.19997,11182.3299,617.3195085,221.9261809,784201.2234,7494.853854,11238.01841,5401.254518,58038.31066,705.7594721,1487.12294,30160.19137,16023.3751,2484.5529,4566.994894,8374.212763,19137.42805,1241.413816,692.1589195,198924.2438,360.3574223,124245.8724,26576.89052,14567.49689,9581.881954,0,13348.67258,1506.97929,6560.248179,24224.30838,55213.44658,1785.140319,3433.213338,1833.259949,517.2967383,489.0781679,3548.704378,1361.722629,4227.220783,744.4668412,3122.817396,3854.936714,35618.03522,11720.83719,307.7337554,121768.4872,0,1909.752024,22336.85132,603.7136965,48121.72595,1772.519129,0,2611.001936,4004.757707,621.6206284,1141.635226,260.506709,46693.64425,72.0322749,371.3532485,780.2259174,0,28823.04426,8845.202223,4264.19642,15034.97856,2737.777236,65003.72428,2483.29672,34144.66884,92.11270796,150.2177652,1675.226308,4513.084703,2168.257983,1091.570928,6038.60894,5717.166804,21078.431,393.2867588,188.5417105,550.6432025,704.1180481,938.9310128,288.2385414,64994.06036,2483.263222,505.7046397,1645.122911,4960.316857,4166.507756,34807.23056,11332.62074,3440.869828,12473.97888,4952.066317,3207.450243,1027.129182,0,42.05075068
PipelineTesting_RPOS_ToF10_B1SRD10,3641.821868,608.2119595,2277.561897,12093.41136,955.9927589,262.1635872,789651.7957,7122.972354,10912.27467,5306.843762,60546.15196,250.0890159,1436.424214,31139.94698,16587.93153,2145.22943,4761.266961,9286.980962,19540.49225,1141.174574,1087.190768,206693.781,516.2964559,127693.4375,28929.44874,15989.37665,9552.608724,0,13357.66179,400.7558874,7371.181039,24283.86619,49937.30891,1916.126763,3308.928792,1751.566099,780.3835304,1067.279897,3385.670408,1393.877634,5381.24821,804.0037487,3173.883687,4400.861786,36079.73407,12048.97271,414.7068081,125943.9204,0,1977.156131,22305.8399,751.259571,49790.71671,2077.312541,0,3784.832685,5911.693463,588.7162577,1063.550342,434.8513534,46850.52024,408.6112357,234.8366891,349.9686604,1796.412854,30460.59661,9158.713399,6320.69022,15984.15397,3375.365235,68417.56545,2639.205029,34894.94435,269.6303112,511.8760387,1741.058945,4768.455462,2161.466711,1219.449298,5934.744522,6666.806452,21962.8633,527.2328178,215.7020583,524.7858472,922.3819846,1016.581375,211.9712325,68399.16445,2639.200242,573.99597,1396.91285,4764.324539,4485.420609,36181.5175,11506.44747,4109.075567,12700.13305,4982.157349,2979.797276,562.1550787,0,738.5226308
